iter	Passed	Remaining
411	3659	85159
412	3667	85133
413	3676	85123
414	3685	85113
415	3694	85115
416	3702	85091
417	3712	85100
418	3720	85068
419	3728	85056
420	3738	85062
421	3746	85040
422	3756	85041
423	3763	85007
424	3772	84994
425	3780	84974
426	3789	84966
427	3799	84969
428	3807	84936
429	3816	84930
430	3825	84930
431	3833	84899
432	3842	84898
433	3851	84892
434	3859	84874
435	3869	84872
436	3879	84896
437	3889	84903
438	3898	84906
439	3907	84895
440	3916	84901
441	3925	84890
442	3934	84884
443	3943	84869
444	3952	84859
445	3961	84867
446	3970	84863
447	3979	84853
448	3988	84833
449	3996	84821
450	4005	84805
451	4014	84802
452	4024	84825
453	4035	84844
454	4042	84812
455	4051	84800
456	4060	84785
457	4069	84774
458	4077	84765
459	4087	84775
460	4096	84757
461	4104	84746
462	4113	84736
463	4122	84721
464	4131	84724
465	4140	84704
466	4148	84675
467	4156	84651
468	4164	84625
469	4173	84634
470	4183	84630
471	4191	84617
472	4200	84602
473	4209	84596
474	4218	84598
475	4227	84583
476	4236	84571
477	4244	84551
478	4253	84552
479	4262	84540
480	4271	84525
481	4279	84508
482	4289	84515
483	4296	84478
484	4304	84451
485	4313	84442
486	4323	84448
487	4332	84453
488	4341	84436
489	4349	84413
490	4357	84384
491	4365	84373
492	4374	84362
493	4384	84370
494	4392	84345
495	4401	84336
496	4409	84311
497	4419	84321
498	4428	84321
499	4437	84316
500	4446	84298
501	4455	84299
502	4465	84305
503	4474	84312
504	4484	84321
505	4494	84330
506	4503	84320
507	4513	84333
508	4521	84314
509	4530	84300
510	4539	84301
511	4549	84314
512	4558	84293
513	4566	84283
514	4575	84263
515	4584	84259
516	4592	84236
517	4602	84242
518	4610	84228
519	4619	84224
520	4629	84224
521	4637	84204
522	4646	84189
523	4654	84173
524	4664	84182
525	4672	84151
526	4680	84137
527	4689	84126
528	4698	84120
529	4707	84107
530	4716	84098
531	4724	84079
532	4733	84069
533	4743	84079
534	4751	84056
535	4761	84076
536	4770	84059
537	4778	84033
538	4787	84034
539	4796	84021
540	4805	84016
541	4813	83999
542	4821	83976
543	4831	83987
544	4841	83990
545	4850	83980
546	4860	83991
547	4869	83987
548	4878	83986
549	4888	83984
550	4897	83988
551	4906	83979
552	4914	83956
553	4923	83942
554	4932	83941
555	4942	83943
556	4950	83932
557	4960	83933
558	4969	83922
559	4977	83902
560	4985	83883
561	4994	83881
562	5003	83876
563	5012	83858
564	5020	83831
565	5029	83831
566	5038	83817
567	5045	83789
568	5055	83792
569	5064	83790
570	5073	83784
571	5082	83773
572	5090	83756
573	5099	83736
